ID,speed,Counts,MAD,ENMO
36,0,NA,NA,NA
36,1,NA,5,33
36,3,NA,138,95
36,4,NA,219,139
36,5,NA,283,184
36,6,NA,453,286
38,0,NA,NA,NA
38,1,1,7,9
38,3,165,129,81
38,4,277,192,125
38,5,378,315,209
41,0,NA,NA,NA
41,1,0,3,23
41,3,184,147,99
42,0,NA,NA,NA
42,1,0,4,0
42,3,161,113,46
42,4,285,174,82
42,5,428,293,153
44,0,NA,NA,NA
44,1,0,3,41
44,3,219,137,96
44,4,340,205,136
44,5,487,307,207
44,6,631,489,352
45,0,NA,NA,NA
45,1,0,8,12
45,3,159,130,76
45,4,240,209,124
45,5,355,318,198
46,0,NA,NA,NA
46,1,2,4,33
46,3,142,168,107
46,4,229,229,141
46,5,320,314,190
47,0,NA,NA,NA
47,1,0,3,31
47,3,249,115,80
47,4,341,220,142
47,5,484,291,201
47,6,647,443,279
48,0,NA,NA,NA
48,1,0,3,37
48,3,204,153,105
48,4,235,204,133
48,5,343,282,183
48,6,448,453,294
50,0,NA,NA,NA
50,1,1,6,36
50,3,233,151,105
50,4,320,217,144
50,5,395,310,212
50,6,476,450,296
51,0,NA,NA,NA
51,1,0,5,19
51,3,156,135,85
51,4,269,201,123
51,5,383,281,171
52,0,NA,NA,NA
52,1,0,3,38
52,3,158,111,85
52,4,233,169,114
52,5,351,249,164
54,0,NA,NA,NA
54,1,1,7,31
54,3,210,150,100
54,4,330,219,144
54,5,449,323,224
54,6,562,504,349
55,0,NA,NA,NA
55,1,0,3,36
55,3,148,154,99
55,4,252,222,138
55,5,407,300,194
56,0,NA,NA,NA
56,1,0,3,23
56,3,181,120,79
56,4,304,187,118
56,5,405,282,179
58,0,NA,NA,NA
58,1,0,2,24
58,2,199,84,56
58,3,258,149,91
58,4,365,226,136
58,5,493,334,197
60,0,NA,NA,NA
60,1,0,2,16
60,2,126,83,51
60,3,221,139,81
60,4,323,204,120
61,0,NA,NA,NA
61,1,2,3,31
61,3,179,131,92
61,4,292,188,128
62,0,NA,NA,NA
62,1,0,4,16
62,3,253,159,92
62,4,364,246,137
62,5,494,369,206
66,0,NA,NA,NA
66,1,1,6,18
66,3,220,140,87
66,4,341,215,132
66,5,438,306,189
67,0,NA,NA,NA
67,1,39,7,20
67,3,402,225,140
67,4,442,302,183
67,5,544,436,259
67,6,610,547,347
68,0,NA,NA,NA
68,1,12,6,21
68,3,251,120,81
68,4,341,212,129
68,5,438,329,193
69,0,NA,NA,NA
69,1,7,4,18
69,2,97,88,59
69,3,150,148,94
69,4,276,234,146
69,5,408,378,236
70,0,NA,NA,NA
70,1,0,3,32
70,3,304,174,115
70,4,419,272,180
70,5,459,312,210
71,0,NA,NA,NA
71,1,0,3,21
71,3,160,175,100
71,4,273,237,133
71,5,364,329,188
72,0,NA,NA,NA
72,1,0,3,34
72,3,184,104,75
72,4,276,177,117
72,5,351,255,173
72,6,466,390,270
73,0,NA,NA,NA
73,1,0,2,32
73,3,237,152,100
73,4,269,188,128
73,5,405,301,198
74,0,NA,NA,NA
74,1,0,3,13
74,3,254,223,131
74,4,323,270,160
74,5,407,334,195
74,6,530,447,270
75,0,NA,NA,NA
75,1,0,2,10
75,2,102,74,44
75,3,165,123,71
75,4,284,198,124
77,0,NA,NA,NA
77,1,20,8,25
77,3,193,137,89
77,4,270,223,140
77,5,412,361,224
78,0,NA,NA,NA
78,1,1,3,27
78,3,137,151,100
78,4,227,199,129
78,5,380,302,190
79,0,NA,NA,NA
79,1,0,3,13
79,2,277,93,62
79,3,258,132,84
79,4,311,214,131
79,5,390,320,191
80,0,NA,NA,NA
80,1,0,2,25
80,3,303,130,84
80,4,336,214,130
80,5,426,309,191
80,6,566,468,300
81,0,NA,NA,NA
81,1,0,3,24
81,2,136,108,74
81,3,235,185,116
81,4,423,338,209
82,0,NA,NA,NA
82,1,0,2,24
82,3,134,172,108
82,4,210,223,140
82,5,296,259,160
82,6,398,339,216
83,0,NA,NA,NA
83,1,0,2,13
83,3,303,136,85
83,4,378,224,134
84,0,NA,NA,NA
84,1,0,3,29
84,3,231,166,107
84,4,346,232,142
84,5,420,326,198
85,0,NA,NA,NA
85,1,0,4,26
85,2,192,115,72
85,3,253,177,106
85,4,374,223,131
85,5,551,319,187
88,0,NA,NA,NA
88,1,0,3,36
88,2,151,157,94
88,3,217,198,119
89,0,NA,NA,NA
89,1,0,5,13
89,3,117,130,76
89,4,163,199,116
89,5,257,293,173
91,0,NA,NA,NA
91,1,0,3,25
91,3,279,152,100
91,4,385,237,152
91,5,564,351,212